GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,0,56,0,0,0,18,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,0,7,0,0,0,3,0,3,0,3
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,0,89,0,0,0,25,0,8,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,0,125,0,4,0,32,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,RegistrationController,0,29,0,0,0,8,0,4,0,4
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,0,94,0,2,0,27,0,9,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,0,99,0,2,0,28,0,9,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,0,99,0,2,0,28,0,9,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,0,94,0,2,0,27,0,9,0,8
spring-boot-skeleton,com.nnk.springboot.web.dto,UserRegistrationDto,16,27,0,0,7,12,2,8,2,8
spring-boot-skeleton,com.nnk.springboot.service.impl,UserDetailServiceImpl,0,34,0,2,0,9,0,3,0,2
spring-boot-skeleton,com.nnk.springboot.service.impl,TradeServiceImpl,0,103,0,0,0,22,0,10,0,10
spring-boot-skeleton,com.nnk.springboot.service.impl,CurvePointServiceImpl,0,104,0,0,0,22,0,10,0,10
spring-boot-skeleton,com.nnk.springboot.service.impl,UserServiceImpl,0,142,0,4,0,32,0,13,0,11
spring-boot-skeleton,com.nnk.springboot.service.impl,RuleNameServiceImpl,0,106,0,0,0,23,0,10,0,10
spring-boot-skeleton,com.nnk.springboot.service.impl,BidListServiceImpl,0,111,0,0,0,23,0,10,0,10
spring-boot-skeleton,com.nnk.springboot.service.impl,RatingServiceImpl,0,81,0,0,0,18,0,9,0,9
spring-boot-skeleton,util,PasswordConstraintsValidator,0,70,0,2,0,12,0,3,0,2
spring-boot-skeleton,com.nnk.springboot.exception,DataNotFoundException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.security,AppAuthProvider,3,0,0,0,1,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.security,SecurityConfig,0,143,0,0,0,38,0,6,0,6
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,0,53,0,0,0,23,0,12,0,12
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,0,73,0,0,0,31,0,16,0,16
spring-boot-skeleton,com.nnk.springboot.domain,BidList,16,153,0,0,8,65,4,42,4,42
spring-boot-skeleton,com.nnk.springboot.domain,Trade,19,146,0,0,10,62,5,40,5,40
spring-boot-skeleton,com.nnk.springboot.domain,User,0,65,0,0,0,28,0,13,0,13
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,4,56,0,0,2,24,1,13,1,13
spring-boot-skeleton,com.nnk.springboot.controllers.apiRest,RuleNameApiRestController,0,72,0,0,0,17,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers.apiRest,CurveApiRestController,0,75,0,0,0,18,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers.apiRest,TradeApiRestController,0,72,0,0,0,17,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers.apiRest,UserApiRestController,0,71,0,0,0,17,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers.apiRest,BidListApiRestController,0,72,0,0,0,17,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers.apiRest,RatingApiRestController,0,73,0,0,0,17,0,7,0,7
